unit	edit	chapter	type	huey_issue	sources	carelaw_ids
HUEY-CL07-U001	CL07-E01	6	question	180	E15,L17,A	C037,C062,C238
HUEY-CL07-U002	CL07-E01	6	question	180	E15,L17,A	C037,C062,C238
HUEY-CL07-U003	CL07-E01	6	argument	180	E15,L17,A	C037,C062,C238
HUEY-CL07-U004	CL07-E01	6	argument	180	E15,L17,A	C037,C062,C238
HUEY-CL07-U005	CL07-E02	6	question	179	E15,A	C060,C062,C072
HUEY-CL07-U006	CL07-E02	6	question	179	E15,A	C060,C062,C072
HUEY-CL07-U007	CL07-E02	6	question	179	E15,A	C060,C062,C072
HUEY-CL07-U008	CL07-E02	6	argument	179	E15,A	C060,C062,C072
HUEY-CL07-U009	CL07-E02	6	request	179	E15,A	C060,C062,C072
HUEY-CL07-U010	CL07-E03	6	guidance	180	W01	C040,C043
HUEY-CL07-U011	CL07-E03	6	guidance	180	W01	C040,C043
HUEY-CL07-U012	CL07-E03	6	argument	180	W01,E15,A	C038,C224
HUEY-CL07-U013	CL07-E03	6	argument	180	W01,E15,A	C038,C224
HUEY-CL07-U014	CL07-E04	6	request	180	L17,A	C044,C053,C074
HUEY-CL07-U015	CL07-E04	6	request	180	L17,A	C044,C053,C074
HUEY-CL07-U016	CL07-E04	6	request	180	L17,A	C044,C053,C074
HUEY-CL07-U017	CL07-E04	6	request	180	L17,A	C044,C053,C074
HUEY-CL07-U018	CL07-E04	6	request	180	L17,A	C044,C053,C074
HUEY-CL07-U019	CL07-E05	6	request	179	E15,L17,A	C074,C224,C238
HUEY-CL07-U020	CL07-E05	6	request	179	E15,L17,A	C074,C224,C238
HUEY-CL07-U021	CL07-E05	6	request	179	E15,L17,A	C074,C224,C238
HUEY-CL07-U022	CL07-E05	6	request	179	E15,L17,A	C074,C224,C238
HUEY-CL07-U023	CL07-E06	6	ethics	179	W02	C052,C054
HUEY-CL07-U024	CL07-E06	6	interpretation	179	W02	C052,C054
HUEY-CL07-U025	CL07-E06	6	request	179	L10,L17,A	C060,C061,C239
HUEY-CL07-U026	CL07-E06	6	question	179	L10,L17,A	C060,C061,C239
HUEY-CL07-U027	CL07-E06	6	question	179	L10,L17,A	C060,C061,C239
HUEY-CL07-U028	CL07-E06	6	argument	179	L10,L17,A	C060,C061,C239
HUEY-CL07-U029	CL07-E06	6	argument	179	L10,L17,A	C060,C061,C239
