paragraph	chapter	disposition	edit	huey_issue	source_scope	review_state
CL06-P001	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P002	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P003	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P004	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P005	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P006	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P007	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P008	3	retained-exact	CL06-E01	178	B,L10,L08	retained-source-scoped
CL06-P009	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P010	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P011	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P012	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P013	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P014	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P015	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P016	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P017	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P018	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P019	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P020	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P021	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P022	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P023	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P024	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P025	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P026	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P027	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P028	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P029	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P030	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P031	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P032	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P033	3	retained-exact	CL06-E02	178	B,L10,L08	retained-source-scoped
CL06-P034	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P035	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P036	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P037	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P038	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P039	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
CL06-P040	3	replaced-with-lineage	CL06-E03	178	B,L10,L08	retained-source-scoped
CL06-P041	3	retained-exact	CL06-E04	178	B,L10,L08	retained-source-scoped
CL06-P042	3	retained-exact	-	178	B,L10,L08	retained-source-scoped
