unit	edit	chapter	type	huey_issue	sources	carelaw_ids
HUEY-CL04-U001	CL04-E01	12	testimony	185	A,T	C127,C128
HUEY-CL04-U002	CL04-E01	12	testimony	185	A,T	C128
HUEY-CL04-U003	CL04-E01	12	argument	185	A,T	C014,C017
HUEY-CL04-U004	CL04-E01	12	argument	185	A,T	C023
HUEY-CL04-U005	CL04-E01	12	argument	185	A,T	C126
HUEY-CL04-U006	CL04-E01	12	argument	185	A,T	C126
HUEY-CL04-U007	CL04-E01	12	argument	185	A,T	C129
HUEY-CL04-U008	CL04-E01	12	argument	185	A,T	C130
HUEY-CL04-U009	CL04-E02	12	research-model	185	R01	-
HUEY-CL04-U010	CL04-E02	12	research-model	185	R01	-
HUEY-CL04-U011	CL04-E02	12	research-model	185	R01	-
HUEY-CL04-U012	CL04-E02	12	interpretation	185	R01	-
HUEY-CL04-U013	CL04-E02	12	argument	185	A,R01	-
HUEY-CL04-U014	CL04-E02	12	question	185	A,R01	-
HUEY-CL04-U015	CL04-E03	12	request	185	A,L17	C118,C252
HUEY-CL04-U016	CL04-E03	12	question	185	A,L17	C118
HUEY-CL04-U017	CL04-E03	12	question	185	A,L17	C117
HUEY-CL04-U018	CL04-E03	12	question	185	A,L17	C118
HUEY-CL04-U019	CL04-E03	12	question	185	A,L17	C116,C117
HUEY-CL04-U020	CL04-E03	12	request	185	A,L17	C252
HUEY-CL04-U021	CL04-E03	12	question	185	A,L17	C119
HUEY-CL04-U022	CL04-E03	12	question	185	A,L17	C118
HUEY-CL04-U023	CL04-E03	12	argument	185	A	C120
HUEY-CL04-U024	CL04-E04	12	source-description	185	L04	-
HUEY-CL04-U025	CL04-E04	12	source-description	185	L04	-
HUEY-CL04-U026	CL04-E04	12	argument	185	A,L04	C119
HUEY-CL04-U027	CL04-E04	12	argument	185	A,L04	-
HUEY-CL04-U028	CL04-E04	12	argument	185	A,L04,L17	C039
HUEY-CL04-U029	CL04-E04	12	argument	185	A,L04	C004
HUEY-CL04-U030	CL04-E04	12	argument	185	A,L04	C120
HUEY-CL04-U031	CL04-E04	12	request	185	A,L04	-
HUEY-CL04-U032	CL04-E05	12	request	185	A,L17	C253
HUEY-CL04-U033	CL04-E05	12	question	185	A,L17	C024
